Year,CO2 in Parts Per Million
1998M10,364.54
1998M10,0.99
1998M11,365.67
1998M11,0.83
1998M12,367.3
1998M12,0.77
1999M01,368.35
1999M01,0.81
1999M02,369.28
1999M02,0.87
1999M03,369.84
1999M03,0.68
1999M04,371.15
1999M04,0.64
1999M05,371.12
1999M05,0.42
1999M06,370.46
1999M06,0.36
1999M07,369.61
1999M07,0.44
1999M08,367.06
1999M08,0.26
1999M09,364.95
1999M09,0.22
1999M10,365.52
1999M10,0.27
1999M11,366.88
1999M11,0.33
1999M12,368.26
1999M12,0.26
2000M01,369.45
2000M01,0.3
2000M02,369.71
2000M02,0.12
2000M03,370.75
2000M03,0.25
2000M04,371.98
2000M04,0.22
2000M05,371.75
2000M05,0.17
2000M06,371.87
2000M06,0.38
2000M07,370.02
2000M07,0.11
2000M08,368.27
2000M08,0.33
2000M09,367.15
2000M09,0.6
2000M10,367.18
2000M10,0.45
2000M11,368.53
2000M11,0.45
2000M12,369.83
2000M12,0.43
2001M01,370.76
2001M01,0.35
2001M02,371.69
2001M02,0.54
2001M03,372.63
2001M03,0.51
2001M04,373.55
2001M04,0.42
2001M05,374.03
2001M05,0.61
2001M06,373.4
2001M06,0.41
2001M07,371.68
2001M07,0.45
2001M08,369.78
2001M08,0.41
2001M09,368.34
2001M09,0.32
2001M10,368.61
2001M10,0.39
2001M11,369.94
2001M11,0.38
2001M12,371.42
2001M12,0.43
2002M01,372.7
2002M01,0.52
2002M02,373.37
2002M02,0.45
2002M03,374.3
2002M03,0.45
2002M04,375.19
2002M04,0.44
2002M05,375.93
2002M05,0.51
2002M06,375.69
2002M06,0.61
2002M07,374.16
2002M07,0.67
2002M08,372.03
2002M08,0.61
2002M09,370.92
2002M09,0.7
2002M10,370.73
2002M10,0.58
2002M11,372.43
2002M11,0.67
2002M12,373.98
2002M12,0.69
2003M01,375.07
2003M01,0.64
2003M02,375.82
2003M02,0.66
2003M03,376.64
2003M03,0.63
2003M04,377.92
2003M04,0.73
2003M05,378.78
2003M05,0.76
2003M06,378.46
2003M06,0.74
2003M07,376.88
2003M07,0.73
2003M08,374.57
2003M08,0.68
2003M09,373.34
2003M09,0.65
2003M10,373.31
2003M10,0.7
2003M11,374.84
2003M11,0.65
2003M12,376.17
2003M12,0.59
2004M01,377.17
2004M01,0.56
2004M02,378.05
2004M02,0.59
2004M03,379.06
2004M03,0.64
2004M04,380.54
2004M04,0.69
2004M05,380.8
2004M05,0.53
2004M06,379.87
2004M06,0.37
2004M07,377.65
2004M07,0.2
2004M08,376.17
2004M08,0.43
2004M09,374.43
2004M09,0.29
2004M10,374.63
2004M10,0.35
2004M11,376.33
2004M11,0.4
2004M12,377.68
2004M12,0.4
2005M01,378.63
2005M01,0.39
2005M02,379.91
2005M02,0.49
2005M03,380.95
2005M03,0.5
2005M04,382.48
2005M04,0.51
2005M05,382.64
2005M05,0.48
2005M06,382.4
2005M06,0.67
2005M07,380.93
2005M07,0.87
2005M08,378.93
2005M08,0.73
2005M09,376.89
2005M09,0.66
2005M10,377.19
2005M10,0.68
2005M11,378.54
2005M11,0.59
2005M12,380.31
2005M12,0.7
2006M01,381.58
2006M01,0.78
2006M02,382.4
2006M02,0.66
2006M03,382.86
2006M03,0.5
2006M04,384.8
2006M04,0.61
2006M05,385.22
2006M05,0.67
2006M06,384.24
2006M06,0.48
2006M07,382.65
2006M07,0.45
2006M08,380.6
2006M08,0.44
2006M09,379.04
2006M09,0.57
2006M10,379.33
2006M10,0.57
2006M11,380.35
2006M11,0.48
2006M12,382.02
2006M12,0.45
2007M01,383.1
2007M01,0.4
2007M02,384.12
2007M02,0.45
2007M03,384.81
2007M03,0.51
2007M04,386.73
2007M04,0.5
2007M05,386.78
2007M05,0.4
2007M06,386.33
2007M06,0.54
2007M07,384.73
2007M07,0.54
2007M08,382.24
2007M08,0.43
2007M09,381.2
2007M09,0.57
2007M10,381.37
2007M10,0.54
2007M11,382.7
2007M11,0.62
2007M12,384.19
2007M12,0.57
2008M01,385.78
2008M01,0.7
2008M02,386.06
2008M02,0.51
2008M03,386.28
2008M03,0.38
2008M04,387.34
2008M04,0.16
2008M05,388.78
2008M05,0.52
2008M06,387.99
2008M06,0.43
2008M07,386.61
2008M07,0.49
2008M08,384.32
2008M08,0.54
2008M09,383.41
2008M09,0.58
2008M10,383.21
2008M10,0.48
2008M11,384.41
2008M11,0.45
2008M12,385.79
2008M12,0.42
2009M01,387.17
2009M01,0.36
2009M02,387.7
2009M02,0.42
2009M03,389.04
2009M03,0.71
2009M04,389.76
2009M04,0.62
2009M05,390.36
2009M05,0.41
2009M06,389.7
2009M06,0.44
2009M07,388.24
2009M07,0.42
2009M08,386.29
2009M08,0.51
2009M09,384.95
2009M09,0.4
2009M10,384.64
2009M10,0.37
2009M11,386.23
2009M11,0.47
2009M12,387.63
2009M12,0.48
2010M01,388.91
2010M01,0.45
2010M02,390.41
2010M02,0.7
2010M03,391.37
2010M03,0.6
2010M04,392.67
2010M04,0.75
2010M05,393.21
2010M05,0.73
2010M06,392.38
2010M06,0.69
2010M07,390.41
2010M07,0.56
2010M08,388.54
2010M08,0.58
2010M09,387.03
2010M09,0.54
2010M10,387.43
2010M10,0.73
2010M11,388.87
2010M11,0.68
2010M12,389.99
2010M12,0.61
2011M01,391.5
2011M01,0.67
2011M02,392.05
2011M02,0.42
2011M03,392.8
2011M03,0.37
2011M04,393.44
2011M04,0.2
2011M05,394.41
2011M05,0.31
2011M06,393.95
2011M06,0.4
2011M07,392.72
2011M07,0.59
2011M08,390.33
2011M08,0.46
2011M09,389.28
2011M09,0.58
2011M10,389.19
2011M10,0.45
2011M11,390.48
2011M11,0.41
2011M12,392.06
2011M12,0.53
2012M01,393.31
2012M01,0.46
2012M02,394.04
2012M02,0.51
2012M03,394.59
2012M03,0.46
2012M04,396.38
2012M04,0.75
2012M05,396.93
2012M05,0.64
2012M06,395.91
2012M06,0.5
2012M07,394.56
2012M07,0.47
2012M08,392.59
2012M08,0.58
2012M09,391.32
2012M09,0.52
2012M10,391.27
2012M10,0.53
2012M11,393.2
2012M11,0.7
2012M12,394.57
2012M12,0.64
2013M01,395.78
2013M01,0.63
